Employee_ID,Gender,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Compensation_and_Benefits,VAR1,VAR2,VAR3,VAR5,VAR6,VAR7,Attrition_rate
EID_23371,0,4,0,1,2,2,4,33,1,1,2,4,23371,1.8688,4,5,3,0.1841
EID_18000,1,3,1,3,3,0,4,36,0,3,2,3,18000,-0.4537,3,5,3,0.067
EID_3891,0,3,0,0,8,2,3,51,0,2,2,4,3891,-0.4537,3,8,3,0.0851
EID_17492,0,3,1,2,1,1,3,56,1,3,2,3,17492,-0.4537,3,7,3,0.0668
EID_22534,0,1,0,3,3,2,4,62,1,3,3,1,22534,-0.4537,2,8,2,0.1827
EID_2278,1,3,0,2,7,2,1,21,2,5,2,3,2278,1.8688,2,8,3,0.7613
EID_18588,0,4,0,3,7,3,1,50,1,1,2,3,18588,0.7075,3,7,3,0.2819
EID_1235,0,3,0,3,10,3,4,23,1,4,3,3,1235,-0.4537,3,9,3,0.1169
EID_10197,1,4,1,3,6,0,1,49,0,1,0,1,10197,1.8688,5,6,3,0.1968
EID_21262,1,3,0,2,2,3,4,34,0,2,3,3,21262,-0.4537,4,8,3,0.287
EID_9153,0,5,1,2,7,1,3,49,1,1,3,3,9153,-0.4537,4,6,3,0.2735
EID_19087,0,5,1,3,5,0,0,25,1,2,4,3,19087,-0.4537,3,6,3,0.08
EID_4825,1,3,0,2,10,2,1,29,0,2,2,3,4825,-0.4537,5,6,3,0.2109
EID_17644,0,4,1,4,3,2,2,70,1,3,2,4,17644,-1.615,4,8,3,0.1696
EID_20902,0,3,0,4,1,3,0,74,0,2,2,3,20902,1.8688,4,6,3,0.0318
EID_20121,0,3,0,3,3,0,0,32,1,2,2,3,20121,-1.615,3,8,3,0.1331
EID_5504,1,4,1,1,2,1,1,58,0,3,2,3,5504,0.7075,3,5,3,0.0671
EID_8049,0,4,0,3,0,3,1,45,1,3,3,3,8049,-0.4537,5,8,4,0.1468
EID_14638,1,3,1,3,0,0,1,39,1,2,3,3,14638,0.7075,3,8,3,0.056
EID_12947,1,3,1,2,2,2,4,44,0,4,2,3,12947,0.7075,1,5,4,0.6409999999999999
EID_20029,0,4,0,0,8,1,1,53,0,4,2,3,20029,-0.4537,2,7,4,0.1095
EID_23546,0,3,0,3,2,3,3,53,1,2,3,3,23546,0.7075,3,8,4,0.0462
EID_3722,1,1,0,1,2,0,2,30,0,3,2,3,3722,0.7075,3,6,3,0.1708
EID_23853,0,4,0,4,0,0,4,39,1,3,3,3,23853,0.7075,3,5,3,0.2704
EID_16808,0,5,1,3,10,2,1,52,0,3,2,3,16808,-0.4537,3,8,5,0.1742
EID_3901,0,2,0,4,4,3,1,58,1,3,2,3,3901,-0.4537,4,8,2,0.8727
EID_4861,0,4,1,4,9,0,1,34,1,3,2,4,4861,0.7075,3,5,2,0.2269
EID_12981,1,3,1,2,10,2,1,58,0,4,2,3,12981,0.7075,3,8,3,0.6272
EID_7596,0,3,0,2,9,0,4,60,0,2,4,3,7596,-0.4537,1,7,5,0.0326
EID_14066,0,3,0,2,5,0,1,29,0,4,2,3,14066,-0.4537,2,8,3,0.273
EID_18060,1,4,1,1,2,0,4,55,0,1,2,4,18060,0.7075,3,5,3,0.0021
EID_23729,1,3,1,2,0,3,1,71,2,3,2,4,23729,-0.4537,2,8,5,0.0647
EID_5824,0,1,1,3,2,1,3,22,0,1,3,3,5824,-0.4537,4,7,3,0.0447
EID_2025,0,3,0,1,2,1,4,66,0,5,3,3,2025,-0.4537,2,6,3,0.2307
EID_20761,0,5,1,2,5,1,0,39,2,3,2,3,20761,-0.4537,2,8,3,0.2637
EID_9775,0,3,1,4,10,0,2,31,0,2,4,3,9775,0.7075,1,8,3,0.0759
EID_22605,0,3,1,2,5,0,3,38,2,1,3,3,22605,0.7075,3,9,3,0.2161
EID_20859,1,3,1,3,7,3,2,27,2,4,3,3,20859,-0.4537,3,8,3,0.4617
EID_11141,0,3,0,2,3,0,3,72,0,1,2,2,11141,-0.4537,2,7,3,0.6961
EID_20542,1,3,1,3,2,3,3,33,0,2,2,1,20542,0.7075,4,7,3,0.2656
EID_17527,0,2,0,3,2,2,1,72,2,5,3,3,17527,0.7075,5,6,2,0.0618
EID_10767,1,4,0,4,5,1,4,50,2,5,2,3,10767,-0.4537,4,8,3,0.1983
EID_14404,1,4,0,0,2,2,1,46,1,1,3,2,14404,0.7075,4,8,4,0.2744
EID_1433,1,3,0,3,3,2,3,51,1,2,2,5,1433,1.8688,3,8,3,0.1571
EID_15214,0,3,0,0,4,2,1,20,1,4,4,4,15214,0.7075,4,6,3,0.0088
EID_1028,0,3,1,1,6,3,4,67,1,5,4,3,1028,0.7075,3,6,3,0.0882
EID_23163,1,4,0,2,4,0,3,68,0,4,2,4,23163,-0.4537,3,8,5,0.2711
EID_10796,0,4,0,4,2,3,2,67,0,3,2,3,10796,-0.4537,1,7,1,0.1519
EID_2413,0,1,0,3,2,3,3,37,1,3,3,4,2413,0.7075,2,6,3,0.1593
EID_15197,1,4,1,3,10,1,2,48,0,5,2,1,15197,0.7075,3,8,3,0.23
EID_22544,0,3,0,1,3,3,4,27,0,1,3,3,22544,-0.4537,3,6,4,0.0672
EID_3235,1,3,1,3,8,3,2,63,1,2,2,3,3235,-1.615,4,8,3,0.046
EID_9981,0,4,0,0,7,2,1,64,0,2,2,3,9981,-0.4537,2,8,4,0.1008
EID_14964,0,4,1,3,2,3,1,22,1,3,3,3,14964,1.8688,3,7,3,0.0871
EID_1297,1,4,0,3,2,3,4,52,0,2,3,3,1297,-0.4537,3,9,4,0.0449
EID_24847,0,3,0,3,10,1,2,66,1,4,3,3,24847,-2.7762,2,5,4,0.1544
EID_1395,1,3,0,2,10,0,3,38,1,3,2,2,1395,-0.4537,1,8,3,0.0068
EID_15391,1,4,0,3,8,1,4,22,0,3,2,4,15391,-0.4537,3,8,5,0.2197
EID_5986,0,1,0,1,2,2,2,29,2,1,3,3,5986,-0.4537,4,6,4,0.1379
EID_5679,0,4,1,2,2,3,1,54,0,3,0,3,5679,-0.4537,3,7,5,0.2384
EID_3451,0,1,0,2,5,2,2,27,0,3,2,3,3451,0.7075,4,8,3,0.1313
EID_14177,1,2,0,2,11,2,2,23,2,1,4,3,14177,-0.4537,5,5,3,0.042
EID_5301,0,1,0,3,3,1,3,47,1,5,2,3,5301,-0.4537,2,8,3,0.1675
EID_25100,0,4,1,3,3,2,4,59,1,2,4,3,25100,0.7075,3,8,3,0.9262
EID_9288,1,4,0,3,3,3,3,59,0,3,2,3,9288,-0.4537,2,6,5,0.1291
EID_20266,1,5,0,1,10,1,3,71,1,2,3,4,20266,-0.4537,3,8,3,0.1577
EID_22041,1,5,0,1,8,2,4,57,1,4,2,1,22041,0.7075,2,5,3,0.0645
